id,ground_truth,noise_condition,snr_db,prediction,wer,cer,audio_seconds,process_seconds,rtf
D0006,11 ཁོང་གཉིས་ཀྱིས་ཁོང་ལུ་ དབའེ་ ག་ལི་ལི་གི་མི་འདི་ཚུ་ ཁྱེད་ཆ་ཁྱབ་ག་ཅི་འབད་རང་ ནཱ་ལུ་ལོང་སྟེ་བལྟ་སྡོདཔ་སྨོ་ ཨ་ནི་ད་ལྟོ་ཁྱེད་ཀྱི་གྲལ་ཁ་ལས་ ཡར་ཞིང་ཁམས་ལུ་འཐུ་བསྣམས་མི་ཡེ་ཤུ་འདི་ ད་ལྟོ་ཁྱེད་ཀྱིས་མཐོང་སར་འབྱོན་དོཝ་བཟུམ་སྦེ་ ད་རུང་ལོག་སྟེ་མར་འབྱོན་ནི་ཨིན་ཟེར་སླབ་ནུག།,clean,,ཁོ་གཉིས་ཀྱིས་ཁོང་ལུ་དབེ་ད་ལི་ལི་གི་མི་དེ་ཚུ་ཁྱེད་ཆ་ཁྱབ་ག་ཅི་འབད་རང་ནཱ་ལུ་ལོངས་སྟེ་བྟག་སྡོདཔ་སྨོ་ཨ་ནི་ད་ལྟོ་ཁྱེད་ཀྱི་གྲལ་ཁ་ལས་ཡར་ཞིང་ཁམས་ལུ་ཐུག་གྣབ་མི་ཡེ་ཤུ་འདི་དྲབཔ་ལྟོ་ཁྱེད་ཀྱི་མཐུང་ས་བྱོན་དོཝ་བཟུམ་སྦེ་འདྲལཝ་ལོག་སྟེ་མར་འབྱོན་ནི་ཨིན་ཟེར་སླབ་ནུག,0.25,0.1423,19.44,5.675,0.2919
D0006,11 ཁོང་གཉིས་ཀྱིས་ཁོང་ལུ་ དབའེ་ ག་ལི་ལི་གི་མི་འདི་ཚུ་ ཁྱེད་ཆ་ཁྱབ་ག་ཅི་འབད་རང་ ནཱ་ལུ་ལོང་སྟེ་བལྟ་སྡོདཔ་སྨོ་ ཨ་ནི་ད་ལྟོ་ཁྱེད་ཀྱི་གྲལ་ཁ་ལས་ ཡར་ཞིང་ཁམས་ལུ་འཐུ་བསྣམས་མི་ཡེ་ཤུ་འདི་ ད་ལྟོ་ཁྱེད་ཀྱིས་མཐོང་སར་འབྱོན་དོཝ་བཟུམ་སྦེ་ ད་རུང་ལོག་སྟེ་མར་འབྱོན་ནི་ཨིན་ཟེར་སླབ་ནུག།,snr_15db,15.0,ཁོ་གཉིས་ཀྱིས་ཁོང་ལུ་དབེ་ད་ལི་ལི་གི་མི་དེ་ཚུ་ཁྱེད་ཆ་ཁྱབ་ག་ཅི་འབད་རང་ནཱ་ལུ་ལོངས་སྟེ་བརྟག་སྡོདཔ་སྨོ་ཨམ་ནི་ད་ལྟོ་ཁྱེད་ཀྱི་གྲལ་ཁ་ལས་ཡར་ཞིང་ཁམས་ལུ་ཐུག་བསྣབ་མི་ཡེ་ཤུ་འདི་ད་ལྟོ་ཁྱེད་ཀྱི་མཐུང་ས་བྱོན་དོཝ་བཟུམ་སྦེ་བེ་ུ་ལོག་སྟེ་མར་བྱོན་ནི་ཨིན་ཟེར་སླབ་ནུག,0.2647,0.1269,19.44,5.719,0.2942
D0007,མ་ཐི་ཨཱས་སྐུ་ཚབ་ཚུ་གི་གྲལ་ཁར་བསྡོམ་བའི་སྐོར།,clean,,མ་ཐི་ཨཱས་སྐུ་ཚབ་ཚུ་དི་གྲལ་ཁར་སྡོག་མི་དགོ,0.3333,0.2045,2.544,0.852,0.3351
D0007,མ་ཐི་ཨཱས་སྐུ་ཚབ་ཚུ་གི་གྲལ་ཁར་བསྡོམ་བའི་སྐོར།,snr_15db,15.0,མ་ཐི་ཨཱས་སྐུ་ཚབ་ཚུ་དེ་གྲལ་ཁར་སྡོག་མི་དགོ,0.3333,0.2273,2.544,0.833,0.3273
D0008,12 དེ་ལས་ཁོང་ཆ་ཁྱབ་ ཨ་རུ་ར་ཤིང་ཟེར་མིའི་སྒང་ལས་མར་ལོག་སྟེ་ ཡེ་རུ་ཤ་ལེམ་ལུ་བྱོན་ནུག་ ཡེ་རུ་ཤ་ལེམ་སྦོ་ལོགས་ཁར་འབད་ནི་དེ་གིས་ ངལ་འཚོ་བའི་ཉིནམ་ལུ་འགྱོ་ཆོག་པའི་རིང་ཚད་བཟུམ་ཅིག་རང་ཨིན་མས།,clean,,དེ་ལས་ཁོང་ཆ་ཁྲབ་ཨརརུང་ར་ཤེང་ཟེར་མི་སྒང་ལས་མར་ལོག་སྟེ་ཡེ་རུ་ཤ་ལེམ་ལུ་བྱོན་ནུག་ཡེ་རུ་ཤ་ལེམ་སྦོ་ལོགས་ཁར་འབད་ནི་འདེ་གིས་ང་ཡང་བཟོའི་ཉིནམ་ལུ་འགྱོ་སྐྱོག་པའི་རིང་ཚོལ་བཟུམ་ཅིག་རང་ཨིན་མས,0.26,0.1436,11.504,3.37,0.293
D0008,12 དེ་ལས་ཁོང་ཆ་ཁྱབ་ ཨ་རུ་ར་ཤིང་ཟེར་མིའི་སྒང་ལས་མར་ལོག་སྟེ་ ཡེ་རུ་ཤ་ལེམ་ལུ་བྱོན་ནུག་ ཡེ་རུ་ཤ་ལེམ་སྦོ་ལོགས་ཁར་འབད་ནི་དེ་གིས་ ངལ་འཚོ་བའི་ཉིནམ་ལུ་འགྱོ་ཆོག་པའི་རིང་ཚད་བཟུམ་ཅིག་རང་ཨིན་མས།,snr_15db,15.0,དེ་ལས་ཁོ་ཆ་ཁྱབ་ཨར་ུ་ར་ཤིང་ཟེར་མི་སྒང་ལས་མ་ལོག་པི་ཡེ་རུ་ཤ་ལེམ་ལུ་བྱོན་ནུག་ཡེ་རུ་ཤ་ལེམ་སྦོ་ལོགས་ཁར་འབད་ནི་དེ་གིས་ང་ཡང་བཟོའི་ཉིནམ་ལུ་འགྱོ་ཕྱོག་པའི་རིང་འཐོལ་བཟུམ་ཅིག་རང་ཨིན་མས,0.26,0.1602,11.504,3.304,0.2872
D0009,13 ཕར་ཁྲོམ་ལུ་ལྷོད་ཞིནམ་ལས་ ཧེ་མ་ཁོང་རང་བཞུགས་སའི་ ཡར་ཐོག་ཁའི་ཁང་མིག་ནང་སོང་ནུག་ འདི་ཁར་ལུ་སྡོད་མི་ པེ་ཏྲོ་དང་ ཡོ་ཧ་ནཱན་ ཡ་ཀོབ་ ཨཱན་དྲུ་ ཕི་ལིབ་ ཐོ་མཱས་ བཱར་ཐོ་ལོ་མིའུ་ མེ་ཐིའུ་ ཨཱལ་ཕེ་ཨུས་ཀྱི་བུ་ ཡ་ཀོབ་ སྲིད་བྱུས་ཀྱི་སྡེ་ཚན་ལས་ཨིན་མི་ སི་མཱོན་ ཡ་ཀོབ་ཀྱི་བུ་ ཡུ་དཱས་དེ་ཚུ་ཨིན་མས།,clean,,དབར་ཁྲོམ་ལུ་ལྷོད་ཞིནམ་ལས་ཧེ་མ་ཁོ་རང་བཞུགས་སའ་ཡར་ཐོ་ཁའི་ཁང་མི་ནང་སོང་ནུག་ག་དེ་ཁར་ལུ་སྡོད་མི་པ་པེ་ཏྲོ་དང་ཡོ་ཧ་ནཱན་ཡ་ཀོབ་ཨཱན་དྲུ་ཕི་ལིབ་ཐོ་མཱས་བར་ཐོག་ལུ་མེའཝ་ལ་མེད་ཐུའཝ་ཨ་ཕེ་ཨུས་ཀྱི་བུ་ཡ་ཀོབ་སི་རྒྱུས་ཀྱི་སྡེད་ཚན་ལས་ཨིན་མི་སི་མཱོན་ཡ་ཀོབ་གྱི་བུ་ཡུ་དཱས་དེ་ཚུ་ཨིན་མས,0.3014,0.1649,17.168,5.033,0.2932
D0009,13 ཕར་ཁྲོམ་ལུ་ལྷོད་ཞིནམ་ལས་ ཧེ་མ་ཁོང་རང་བཞུགས་སའི་ ཡར་ཐོག་ཁའི་ཁང་མིག་ནང་སོང་ནུག་ འདི་ཁར་ལུ་སྡོད་མི་ པེ་ཏྲོ་དང་ ཡོ་ཧ་ནཱན་ ཡ་ཀོབ་ ཨཱན་དྲུ་ ཕི་ལིབ་ ཐོ་མཱས་ བཱར་ཐོ་ལོ་མིའུ་ མེ་ཐིའུ་ ཨཱལ་ཕེ་ཨུས་ཀྱི་བུ་ ཡ་ཀོབ་ སྲིད་བྱུས་ཀྱི་སྡེ་ཚན་ལས་ཨིན་མི་ སི་མཱོན་ ཡ་ཀོབ་ཀྱི་བུ་ ཡུ་དཱས་དེ་ཚུ་ཨིན་མས།,snr_15db,15.0,ང་ཁྲོམ་ལུ་ྷོད་ཞིནམ་ལས་ཧེ་མ་ཁོ་རང་བཞུགས་སའི་ཡར་ཐོ་ཁའི་ཁང་མི་ནང་སོང་ནུག་ག་དེ་ཁ་ལུ་སྡོད་མིའི་བ་པེ་ཏྲོ་དང་ཡོ་ཧ་ནཱན་ཡ་ཀོབ་ཨཱན་དྲུ་ཕེ་མི་ཐོ་མཱས་བ་ཐོག་ལུ་མེའཝ་ལུ་མད་ཁིང་ཨ་ཕེ་ཡཱས་གྱི་བུ་ཡ་ཀོབ་སི་རྒྱུད་ཀི་དེ་ཚན་ལས་ཨིན་མི་སི་མཱོན་ཡ་ཀོབ་གྱི་བུ་ཡུ་དཱས་འདེ་ཚུ་ཨིན་མས,0.411,0.2258,17.168,5.052,0.2943
D0010,14 ཁོང་ཆ་ཁྱབ་དང་གཅིག་ཁར་ ཨམ་སྲུ་གཞན་ཚུ་དང་ དེ་ལས་ཡེ་ཤུ་གི་ཡུམ་ མཱིར་ཡམ་དང་ ཡེ་ཤུ་གི་ནུ་གཅུང་ཚུ་ རྟག་བུ་རང་འཛོམས་ཏེ་སེམས་གཅིག་སྦེ་མཐུན་ སྨོན་ལམ་བཏབ་སྡོད་ནུག 15 དུས་ཚོད་འདི་གི་སྐབས་ལུ་ དདཔ་ཅན་བརྒྱ་དང་ཉི་ཤུ་དེ་ཅིག་འཛོམས་སྡོད་པའི་ཉིན་མ་ལུ་ པེ་ཏྲོ་གིས་ཡར་ལོང་སྟེ་ དེ་སྦེ་སླབ་ནུག 16 དབའེ་སྤུན་ཆ་ཚུ་ ཡེ་ཤུ་བཟུང་མི་ཚུ་ལུ་ ལམ་སྟོན་ཏེ་འཁྱིད་འོང་མི་ ཡུ་དཱས་ ཨཱིས་ཀ་རི་ཨཱོད་ཀྱི་སྐོར་ལས་ དམ་པའི་ཐུགས་ཉིད་ཀྱིས་ ཧེ་མ་ལས་རྒྱལཔོ་ ད་བིད་ཀྱི་ཞལ་ལས་ གསུང་རབ་ནང་ལུ་བྲིས་དོཝ་བཟུམ་སྦེ་ ག་ར་བྱུང་སྟེ་འོང་ཡི།,clean,,ཁོང་ཆ་ཁྱབ་དང་གཅིག་ཁར་ཨམ་སྲུ་གཞན་ཚུ་དང་དེ་ལས་ཡེ་ཤུ་གི་ཡོམ་ལུང་རམ་ད་ཡེ་ཤུ་གི་ནུ་ཅུང་ཚུ་རྟག་བུ་རང་འཛོམས་ྟེ་སེམས་གཅིག་སྦེ་ཐུན་སྨོན་ལམ་བཏབ་སྡོད་ནུག་དུས་ཚོད་འདེ་གི་སྐབས་ལུ་སདདཔ་ཆན་རྒྱ་དང་ཉིས་ཤུགས་དེ་ཅིག་འཛོམས་སྡོད་པའི་ཉིན་མ་ལུ་པེ་ཏྲོ་གིས་ལར་ལོང་སྟེ་དེ་སྦེ་སླབ་ནུག་ཉིན་པའི་སྤུན་ཆ་ཚུ་ཡེ་ཤུ་བཟུས་མི་ཚུ་ལུ་ཡམ་བྟོན་ཏེ་འཁྱིད་འོངས་མི་ཡུ་དཱས་ཨིས་ཀ་རི་ཨཱོད་གྱི་སྐོར་ལས་དམ་པའི་ཐུགས་ཉིད་ཀྱིས་ཧེ་མ་ལས་རྒྱལཔོ་ལེས་པ་གྱི་ཞལ་ལས་གསུང་རབ་ནང་ལུ་བྲི་དོཝ་བཟུམ་སྦེ་ག་ར་བྱུང་སྟེ་དགོ་ཡི,0.2381,0.1366,30.48,9.277,0.3044
D0010,14 ཁོང་ཆ་ཁྱབ་དང་གཅིག་ཁར་ ཨམ་སྲུ་གཞན་ཚུ་དང་ དེ་ལས་ཡེ་ཤུ་གི་ཡུམ་ མཱིར་ཡམ་དང་ ཡེ་ཤུ་གི་ནུ་གཅུང་ཚུ་ རྟག་བུ་རང་འཛོམས་ཏེ་སེམས་གཅིག་སྦེ་མཐུན་ སྨོན་ལམ་བཏབ་སྡོད་ནུག 15 དུས་ཚོད་འདི་གི་སྐབས་ལུ་ དདཔ་ཅན་བརྒྱ་དང་ཉི་ཤུ་དེ་ཅིག་འཛོམས་སྡོད་པའི་ཉིན་མ་ལུ་ པེ་ཏྲོ་གིས་ཡར་ལོང་སྟེ་ དེ་སྦེ་སླབ་ནུག 16 དབའེ་སྤུན་ཆ་ཚུ་ ཡེ་ཤུ་བཟུང་མི་ཚུ་ལུ་ ལམ་སྟོན་ཏེ་འཁྱིད་འོང་མི་ ཡུ་དཱས་ ཨཱིས་ཀ་རི་ཨཱོད་ཀྱི་སྐོར་ལས་ དམ་པའི་ཐུགས་ཉིད་ཀྱིས་ ཧེ་མ་ལས་རྒྱལཔོ་ ད་བིད་ཀྱི་ཞལ་ལས་ གསུང་རབ་ནང་ལུ་བྲིས་དོཝ་བཟུམ་སྦེ་ ག་ར་བྱུང་སྟེ་འོང་ཡི།,snr_15db,15.0,ཁོང་ཆ་ཁྱབ་དང་གཅིག་ཁར་ཨམ་སྲུ་གཞན་ཚུ་དང་དེ་ལས་ཡེ་ཤུ་གི་ཡོམ་ལོན་རམ་ད་ཡེ་ཤུ་གི་ནུ་གཅུང་ཚུ་རྟག་བུ་རང་འཛོམས་པའི་སེམས་གཅིག་སྦེ་ཐུན་སནོན་ལམ་བཏབ་སྡོད་ནུག་དུས་ཚོད་འདི་གི་སྐབས་ལུ་སྟད་ཆེན་རབ་དང་ཉིན་ཤུགས་ྡེས་ཅིག་འཛོམས་སྡོད་པའི་ཉིན་མ་ལུ་པེ་ཏྲོ་གིས་ཡར་ལོང་སྟེ་དེ་སྦེ་སླབ་ནུག་ལ་པའི་སྤུན་ཆ་ཚུ་ཡེ་ཤུ་བཟུམ་མི་ཚུ་ལུ་ཡམ་བྟོན་ཏེ་འཐི་འོང་མི་ཡུ་དཱས་ི་ཀརི་ཨོ་དི་ཀོར་ལས་དམ་པའི་ཐུབས་མི་གི་ཧེ་མ་ལས་རྒྱལཔོ་ལེས་པད་གི་ཞལ་ལས་གསུང་རབ་ནང་ལུ་སདི་དོཝ་བཟུམ་སྦེ་ད་ར་བྱུང་སལའི་གོ་ཡི,0.3016,0.1946,30.48,9.202,0.3019
